year, month, day, hour, minute, second, lon, lat, depth, mag
1846, 7, 4, 18, 0, 0.000, 172.0000, -42.0000, 25.00, 5.500
1846, 7, 13, 6, 20, 0.000, 166.0000, -47.0000, 25.00, 6.300
1846, 7, 26, 17, 0, 0.000, 175.0000, -41.0000, 25.00, 5.500
1846, 8, 30, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 9, 11, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 10, 16, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 11, 18, 19, 0, 0.000, 172.0000, -41.0000, 25.00, 6.500
1846, 11, 19, 0, 0, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 12, 3, 0, 0, 0.000, 173.0000, -41.0000, 25.00, 4.500
1846, 12, 4, 5, 45, 0.000, 174.5000, -41.0000, 25.00, 6.000
1846, 12, 4, 6, 50, 0.000, 174.5000, -41.0000, 25.00, 4.500
1846, 12, 4, 7, 0, 0.000, 174.5000, -41.0000, 25.00, 4.500
1846, 12, 4, 9, 0, 0.000, 174.5000, -41.0000, 25.00, 4.500
1846, 12, 4, 10, 15, 0.000, 174.5000, -41.0000, 25.00, 4.500
1846, 12, 4, 10, 45, 0.000, 174.5000, -41.0000, 25.00, 4.500
1846, 12, 4, 11, 50, 0.000, 174.5000, -41.0000, 25.00, 4.500
1846, 12, 4, 14, 0, 0.000, 174.5000, -41.0000, 25.00, 4.500
1846, 12, 5, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
1846, 12, 5, 7, 0, 0.000, 174.5000, -41.0000, 25.00, 4.500
1846, 12, 5, 9, 0, 0.000, 174.5000, -41.0000, 25.00, 5.500
1846, 12, 26, 5, 0, 0.000, 178.0000, -39.0000, 25.00, 4.500
1846, 12, 26, 10, 50, 0.000, 175.0000, -41.0000, 25.00, 4.500
1846, 12, 31, 17, 40, 0.000, 178.0000, -39.0000, 25.00, 4.500
1847, 2, 3, 0, 0, 0.000, 175.0000, -40.0000, 25.00, 4.500
