year, month, day, hour, minute, second, lon, lat, depth, mag
1946, 9, 12, 13, 31, 42.000, 172.8000, -41.0200, 166.00, 4.431
1946, 9, 29, 8, 35, 48.000, 178.8400, -35.1600, 200.00, 4.656
1946, 10, 11, 4, 7, 18.000, 175.9600, -38.7400, 185.00, 4.182
1946, 10, 12, 19, 55, 31.000, 174.1400, -40.2000, 92.00, 4.250
1946, 11, 13, 0, 59, 27.000, 175.5500, -38.9300, 224.00, 4.293
1946, 12, 9, 17, 45, 17.000, 173.3400, -40.3400, 147.00, 4.578
1947, 1, 10, 5, 5, 5.000, 176.6100, -38.0000, 239.00, 4.461
1947, 1, 20, 22, 8, 59.000, 177.6800, -38.3300, 137.00, 4.296
1947, 1, 27, 21, 40, 21.000, 176.6700, -38.6200, 186.00, 4.078
1947, 2, 16, 22, 3, 15.000, 174.7000, -41.1200, 84.00, 4.422
1947, 2, 17, 9, 48, 53.000, 176.3900, -38.1200, 296.00, 5.339
1947, 5, 5, 2, 5, 29.000, 175.5100, -39.2800, 82.00, 5.465
1947, 7, 11, 5, 8, 59.000, 174.4000, -39.6500, 210.00, 4.887
1947, 7, 11, 20, 5, 0.000, 173.3600, -41.0800, 159.00, 3.530
1947, 7, 30, 23, 37, 33.000, 173.5300, -39.8100, 108.00, 3.549
1947, 8, 3, 1, 4, 41.000, 173.1000, -41.1300, 132.00, 4.002
1947, 10, 9, 23, 19, 34.000, 173.5700, -40.6400, 113.00, 4.506
1947, 10, 26, 11, 57, 56.000, 174.8600, -39.5000, 144.00, 4.840
1947, 12, 4, 20, 46, 39.000, 177.6500, -36.6400, 249.00, 4.590
1947, 12, 6, 19, 35, 35.000, 173.5700, -41.1100, 96.00, 4.190
1947, 12, 15, 14, 21, 10.000, 176.0400, -38.7800, 164.00, 4.538
1947, 12, 19, 16, 4, 5.000, 176.2400, -38.2200, 294.00, 4.742
1947, 12, 26, 2, 40, 11.000, 176.6900, -38.0900, 149.00, 4.523
1948, 1, 7, 21, 27, 33.000, 178.6900, -38.6600, 194.00, 5.199
1948, 1, 9, 8, 34, 49.000, 178.6600, -38.1100, 131.00, 4.412
1948, 1, 15, 5, 1, 42.000, 175.0700, -40.3200, 94.00, 5.984
