year, month, day, lon, lat, dep, mag, isslab
1941, 3, 20, 173.0000, -41.0000, 25.0000, 4.500, 0
1941, 3, 24, 177.5000, -39.0000, 25.0000, 4.200, 0
1941, 3, 26, 173.7000, -41.2000, 33.0000, 4.600, 0
1941, 4, 6, 176.8000, -41.2000, 33.0000, 4.400, 1
1941, 4, 6, 173.1000, -41.6000, 33.0000, 5.800, 0
1941, 4, 29, 175.6000, -39.6000, 12.0000, 3.800, 0
1941, 4, 29, 175.5000, -41.5000, 12.0000, 3.900, 0
1941, 5, 8, 174.8000, -39.2000, 25.0000, 4.500, 0
1941, 5, 15, 175.3000, -41.5000, 25.0000, 4.500, 0
1941, 5, 16, 174.0000, -39.0000, 25.0000, 4.700, 0
1941, 5, 23, 172.4000, -40.8000, 12.0000, 3.800, 0
1941, 5, 23, 172.0000, -41.0000, 25.0000, 4.500, 0
1941, 5, 26, 168.5000, -44.2000, 33.0000, 4.800, 0
1941, 5, 29, 177.1000, -40.6000, 12.0000, 5.200, 0
1941, 6, 1, 177.1000, -41.5000, 12.0000, 4.200, 0
1941, 6, 4, 175.8000, -38.2000, 25.0000, 4.000, 0
1941, 6, 6, 177.7000, -38.7000, 25.0000, 4.200, 0
1941, 6, 7, 175.5000, -41.0000, 25.0000, 3.500, 0
1941, 6, 13, 175.5000, -40.0000, 25.0000, 4.500, 0
1941, 7, 2, 173.5000, -40.3000, 12.0000, 4.500, 0
1941, 7, 4, 172.6000, -40.7000, 33.0000, 5.300, 0
1941, 7, 6, 173.8000, -41.1000, 33.0000, 4.500, 0
1941, 7, 17, 173.2000, -41.5000, 33.0000, 5.300, 0
1941, 7, 22, 174.2000, -41.7000, 12.0000, 4.800, 0
1941, 7, 24, 174.5000, -41.2000, 25.0000, 3.800, 0
1941, 8, 9, 171.8000, -41.0000, 33.0000, 4.100, 0
1941, 8, 10, 168.5000, -44.2000, 33.0000, 5.400, 0
1941, 8, 18, 176.6000, -40.3000, 33.0000, 3.800, 1
1941, 8, 21, 175.5000, -41.2000, 12.0000, 4.500, 0
1941, 8, 25, 173.8000, -41.1000, 12.0000, 5.000, 0
1941, 9, 10, 175.0000, -40.0000, 25.0000, 4.500, 0
1941, 9, 14, 177.5000, -39.0000, 25.0000, 4.500, 0
1941, 10, 2, 168.5000, -45.0000, 25.0000, 4.500, 0
1941, 10, 5, 167.0000, -45.0000, 25.0000, 4.500, 1
1941, 10, 10, 177.8000, -39.5000, 12.0000, 4.500, 0
1941, 10, 15, 176.2000, -41.5000, 25.0000, 4.700, 1
1941, 10, 16, 174.0000, -40.0000, 33.0000, 4.200, 0
1941, 10, 26, 178.0000, -40.2000, 12.0000, 5.200, 0
1941, 10, 30, 175.7000, -39.4000, 12.0000, 4.200, 0
1941, 10, 30, 168.5000, -46.5000, 25.0000, 4.500, 0
1941, 11, 21, 175.1000, -40.1000, 12.0000, 4.800, 0
1941, 11, 26, 172.4000, -42.3000, 12.0000, 4.400, 0
1941, 12, 10, 174.0000, -39.3000, 25.0000, 3.500, 0
1941, 12, 11, 167.0000, -45.0000, 25.0000, 5.000, 1
1941, 12, 15, 176.5000, -40.0000, 25.0000, 4.500, 0
1941, 12, 16, 176.3000, -38.2000, 25.0000, 4.500, 0
1941, 12, 17, 174.1000, -42.0000, 33.0000, 4.800, 1
1941, 12, 22, 173.7000, -39.3000, 25.0000, 3.000, 0
1941, 12, 24, 176.5000, -40.0000, 25.0000, 4.500, 0
1941, 12, 25, 175.0000, -40.7000, 12.0000, 4.800, 0
1941, 12, 29, 176.0000, -41.0000, 25.0000, 4.500, 1
1942, 1, 21, 175.9400, -39.4300, 12.0000, 4.527, 0
1942, 1, 29, 179.8900, -37.5600, 12.0000, 5.105, 0
1942, 2, 2, 179.4700, -35.4600, 12.0000, 4.986, 0
1942, 2, 14, 177.0000, -38.0000, 25.0000, 4.500, 0
1942, 2, 15, 178.4100, -37.5200, 33.0000, 4.663, 0
1942, 2, 16, 177.9600, -38.7300, 33.0000, 4.527, 1
1942, 2, 21, 177.0000, -38.0000, 25.0000, 4.500, 0
1942, 2, 21, 173.9900, -38.9500, 0.0000, 4.374, 0
1942, 2, 22, 177.4200, -38.3200, 12.0000, 3.762, 0
1942, 3, 2, 177.4300, -37.3100, 12.0000, 4.750, 0
1942, 3, 3, 177.5000, -38.5000, 25.0000, 4.500, 0
1942, 3, 3, 172.3900, -41.9200, 12.0000, 3.474, 0
1942, 3, 5, 174.9100, -39.2100, 12.0000, 4.000, 0
1942, 3, 16, 175.0000, -42.0000, 12.0000, 3.507, 0
1942, 3, 22, 176.5000, -38.8000, 33.0000, 3.900, 0
1942, 3, 25, 168.0000, -45.0000, 12.0000, 4.600, 0
1942, 3, 28, 177.5700, -38.3200, 12.0000, 4.527, 0
1942, 4, 2, 177.8900, -40.3400, 12.0000, 4.100, 0
1942, 4, 13, 168.7500, -45.2500, 12.0000, 4.221, 0
1942, 4, 18, 168.5000, -45.4000, 12.0000, 4.476, 0
1942, 4, 22, 175.0000, -42.0000, 12.0000, 3.660, 0
1942, 4, 25, 175.4207, -40.2980, 12.0000, 4.435, 0
1942, 4, 26, 172.5800, -41.1200, 12.0000, 3.678, 0
