year, month, day, lon, lat, dep, mag, isslab
1947, 1, 20, 177.6800, -38.3300, 137.0000, 4.296, 1
1947, 1, 27, 176.6700, -38.6200, 186.0000, 4.078, 1
1947, 2, 16, 174.7000, -41.1200, 84.0000, 4.422, 1
1947, 2, 17, 176.3900, -38.1200, 296.0000, 5.339, 1
1947, 5, 5, 175.5100, -39.2800, 82.0000, 5.465, 1
1947, 7, 11, 174.4000, -39.6500, 210.0000, 4.887, 1
1947, 7, 11, 173.3600, -41.0800, 159.0000, 3.530, 1
1947, 7, 30, 173.5300, -39.8100, 108.0000, 3.549, 1
1947, 8, 3, 173.1000, -41.1300, 132.0000, 4.002, 1
1947, 10, 9, 173.5700, -40.6400, 113.0000, 4.506, 1
1947, 10, 26, 174.8600, -39.5000, 144.0000, 4.840, 1
1947, 12, 4, 177.6500, -36.6400, 249.0000, 4.590, 1
1947, 12, 6, 173.5700, -41.1100, 96.0000, 4.190, 1
1947, 12, 15, 176.0400, -38.7800, 164.0000, 4.538, 1
1947, 12, 19, 176.2400, -38.2200, 294.0000, 4.742, 1
1947, 12, 26, 176.6900, -38.0900, 149.0000, 4.523, 1
1948, 1, 7, 178.6900, -38.6600, 194.0000, 5.199, 1
1948, 1, 9, 178.6600, -38.1100, 131.0000, 4.412, 1
1948, 1, 15, 175.0700, -40.3200, 94.0000, 5.984, 1
1948, 1, 25, 173.3200, -40.0800, 124.0000, 3.511, 1
1948, 2, 18, 177.7300, -38.3300, 71.0000, 4.861, 1
1948, 3, 14, 173.1800, -40.4100, 125.0000, 3.917, 1
1948, 5, 20, 174.5800, -39.7300, 173.0000, 3.752, 1
1948, 5, 24, 176.5100, -37.4900, 216.0000, 4.771, 1
1948, 6, 7, 177.9900, -37.7400, 270.0000, 4.184, 1
1948, 6, 10, 176.9700, -37.3700, 217.0000, 4.412, 1
1948, 7, 3, 176.7200, -38.1400, 236.0000, 4.673, 1
1948, 7, 29, 174.0100, -39.7500, 206.0000, 4.642, 1
1948, 8, 14, 176.4600, -38.3100, 234.0000, 4.626, 1
1948, 8, 16, 178.0800, -37.7700, 208.0000, 4.790, 1
1948, 9, 6, 177.5800, -38.0200, 116.0000, 5.275, 1
1948, 9, 15, 177.3700, -37.8200, 256.0000, 4.523, 1
1948, 9, 16, 175.9500, -38.7700, 182.0000, 4.393, 1
1948, 10, 3, 176.0300, -36.6400, 215.0000, 4.365, 1
1948, 10, 11, 175.3600, -39.4000, 93.0000, 3.789, 1
1948, 11, 10, 176.1200, -38.5700, 229.0000, 3.771, 1
1948, 12, 10, 177.0000, -37.3300, 250.0000, 4.027, 1
1948, 12, 21, 177.1700, -38.8400, 68.0000, 4.358, 1
1948, 12, 28, 174.7600, -40.8900, 83.0000, 4.935, 1
1949, 1, 10, 173.4600, -40.0200, 164.0000, 4.028, 1
1949, 1, 15, 174.8700, -39.1900, 201.0000, 5.127, 1
1949, 1, 20, 175.9400, -38.7600, 137.0000, 4.857, 1
1949, 1, 26, 176.8800, -38.4300, 174.0000, 4.361, 1
1949, 1, 29, 177.6200, -37.0200, 177.0000, 4.813, 1
1949, 2, 8, 176.5000, -39.3000, 99.0000, 3.877, 1
1949, 2, 9, 174.3500, -39.6800, 199.0000, 5.843, 1
1949, 2, 19, 176.5000, -38.5200, 140.0000, 3.830, 1
1949, 2, 21, 176.5000, -37.3300, 257.0000, 5.104, 1
1949, 4, 2, 176.3500, -38.0900, 291.0000, 4.083, 1
1949, 5, 5, 172.6000, -41.2200, 181.0000, 3.579, 1
1949, 5, 24, 176.4100, -38.1200, 156.0000, 3.945, 1
1949, 5, 27, 167.4300, -45.4600, 92.0000, 6.043, 1
1949, 5, 29, 174.3600, -39.6400, 200.0000, 4.860, 1
1949, 6, 7, 175.9900, -36.7500, 164.0000, 3.926, 1
1949, 6, 19, 175.1500, -39.0300, 235.0000, 3.859, 1
1949, 6, 20, 177.1800, -35.1100, 179.0000, 4.757, 1
1949, 6, 24, 175.8400, -38.9500, 168.0000, 4.477, 1
1949, 6, 27, 177.0900, -37.5700, 340.0000, 4.323, 1
1949, 7, 3, 176.3100, -38.1900, 152.0000, 3.853, 1
1949, 7, 12, 175.9200, -37.6800, 274.0000, 3.664, 1
1949, 7, 21, 173.7300, -40.1000, 159.0000, 4.652, 1
1949, 8, 7, 175.6700, -38.9500, 182.0000, 4.495, 1
1949, 8, 25, 178.4400, -36.4100, 258.0000, 4.722, 1
1949, 8, 28, 174.3400, -41.2600, 107.0000, 3.042, 1
1949, 8, 28, 174.1400, -40.5300, 103.0000, 3.153, 1
1949, 8, 29, 173.0300, -41.5400, 58.0000, 3.464, 0
1949, 9, 8, 173.7600, -40.5600, 125.0000, 3.713, 1
1949, 9, 11, 176.2000, -38.4400, 148.0000, 4.984, 1
1949, 9, 29, 175.1900, -38.8100, 229.0000, 3.771, 1
1949, 9, 30, 174.0500, -40.7100, 103.0000, 3.153, 1
1949, 11, 9, 172.9700, -41.4700, 108.0000, 3.141, 1
1949, 12, 18, 179.9700, -35.1200, 300.0000, 5.931, 1
1949, 12, 18, 176.1700, -39.4300, 130.0000, 5.460, 1
1949, 12, 19, 172.9200, -40.9100, 214.0000, 3.705, 1
1949, 12, 24, 175.6700, -38.9100, 160.0000, 3.527, 1
1950, 1, 9, 177.6400, -38.2900, 110.0000, 4.921, 1
