clon1,clat1,cdep1,clon2,clat2,cdep2,clon3,clat3,cdep3
164.8478,-48.4076,54.198,164.7987,-48.3928,57.220,164.7497,-48.3779,60.242
164.9146,-48.4453,63.121,164.8644,-48.4302,66.026,164.8143,-48.4150,68.932
164.9797,-48.4819,72.282,164.9290,-48.4666,75.123,164.8783,-48.4513,77.963
165.0441,-48.5178,81.580,164.9931,-48.5025,84.390,164.9420,-48.4871,87.201
165.1082,-48.5535,90.946,165.0570,-48.5381,93.746,165.0058,-48.5227,96.546
165.1719,-48.5890,100.325,165.1206,-48.5736,103.108,165.0693,-48.5581,105.891
165.2349,-48.6241,109.712,165.1832,-48.6086,112.451,165.1314,-48.5931,115.190
165.2967,-48.6586,119.167,165.2444,-48.6430,121.845,165.1921,-48.6273,124.523
165.3571,-48.6924,128.736,165.3043,-48.6766,131.351,165.2515,-48.6607,133.967
165.4162,-48.7253,138.395,165.3628,-48.7094,140.949,165.3096,-48.6934,143.503
165.4739,-48.7575,147.614,165.4201,-48.7415,150.110,165.3664,-48.7254,152.606
165.5305,-48.7890,155.338,165.4763,-48.7728,157.780,165.4221,-48.7567,160.221
165.5859,-48.8198,161.508,165.5313,-48.8035,163.897,165.4767,-48.7873,166.286
165.6401,-48.8499,166.779,165.5852,-48.8336,169.118,165.5302,-48.8172,171.457
165.6933,-48.8795,171.420,165.6380,-48.8630,173.710,165.5827,-48.8465,176.000
165.7454,-48.9084,175.593,165.6898,-48.8918,177.837,165.6342,-48.8753,180.081
165.7966,-48.9367,179.405,165.7406,-48.9201,181.605,165.6847,-48.9034,183.804
165.8467,-48.9645,182.926,165.7905,-48.9478,185.082,165.7343,-48.9311,187.239
165.8960,-48.9917,186.204,165.8395,-48.9749,188.319,165.7830,-48.9582,190.435
165.9443,-49.0184,189.275,165.8876,-49.0016,191.351,165.8308,-48.9847,193.427
165.9918,-49.0447,192.166,165.9348,-49.0278,194.204,165.8778,-49.0108,196.242
166.0385,-49.0704,194.897,165.9813,-49.0535,196.899,165.9241,-49.0365,198.901
166.0844,-49.0957,197.486,166.0269,-49.0787,199.453,165.9695,-49.0617,201.421
166.1295,-49.1206,199.946,166.0719,-49.1036,201.880,166.0143,-49.0865,203.814
166.1739,-49.1451,202.288,166.1161,-49.1280,204.191,166.0583,-49.1108,206.093
166.2177,-49.1691,204.523,166.1596,-49.1520,206.394,166.1016,-49.1348,208.266
166.2607,-49.1928,206.658,166.2025,-49.1756,208.500,166.1443,-49.1584,210.342
166.3031,-49.2161,208.700,166.2447,-49.1989,210.514,166.1864,-49.1816,212.328
166.3449,-49.2391,210.657,166.2864,-49.2218,212.444,166.2279,-49.2045,214.231
166.3861,-49.2617,212.534,166.3274,-49.2444,214.294,166.2687,-49.2270,216.055
166.4266,-49.2840,214.335,166.3678,-49.2666,216.070,166.3091,-49.2492,217.805
166.4667,-49.3059,216.066,166.4077,-49.2885,217.777,166.3488,-49.2711,219.487
166.5062,-49.3276,217.730,166.4471,-49.3102,219.417,166.3880,-49.2927,221.104
166.5452,-49.3490,219.332,166.4859,-49.3315,220.996,166.4268,-49.3140,222.660
166.5836,-49.3700,220.874,166.5243,-49.3525,222.516,166.4650,-49.3350,224.158
166.6216,-49.3908,222.361,166.5621,-49.3733,223.981,166.5027,-49.3557,225.601
166.6591,-49.4113,223.794,166.5995,-49.3938,225.393,166.5400,-49.3762,226.993
166.6961,-49.4316,225.176,166.6365,-49.4140,226.756,166.5768,-49.3964,228.335
164.4551,-48.0450,18.905,164.4381,-48.0399,23.700,164.4212,-48.0347,28.494
164.5475,-48.1010,22.016,164.5225,-48.0933,26.558,164.4974,-48.0856,31.099
164.6334,-48.1534,26.515,164.5997,-48.1431,30.672,164.5661,-48.1328,34.829
164.7144,-48.2021,32.502,164.6740,-48.1898,36.250,164.6336,-48.1775,39.997
164.7907,-48.2470,39.728,164.7459,-48.2334,43.134,164.7010,-48.2197,46.539
164.8628,-48.2886,47.816,164.8152,-48.2742,50.975,164.7677,-48.2597,54.134
164.9315,-48.3278,56.452,164.8823,-48.3129,59.448,164.8331,-48.2979,62.443
164.9978,-48.3653,65.428,164.9477,-48.3501,68.321,164.8976,-48.3349,71.215
165.0627,-48.4017,74.608,165.0120,-48.3864,77.441,164.9613,-48.3710,80.273
165.1267,-48.4375,83.908,165.0757,-48.4221,86.706,165.0246,-48.4066,89.504
165.1902,-48.4729,93.274,165.1389,-48.4575,96.048,165.0876,-48.4420,98.822
165.2530,-48.5080,102.672,165.2014,-48.4925,105.415,165.1499,-48.4769,108.158
165.3150,-48.5427,112.108,165.2629,-48.5270,114.803,165.2110,-48.5113,117.499
165.3757,-48.5766,121.618,165.3232,-48.5609,124.256,165.2707,-48.5450,126.894
165.4351,-48.6099,131.232,165.3821,-48.5940,133.809,165.3292,-48.5780,136.386
165.4933,-48.6423,140.914,165.4398,-48.6263,143.431,165.3863,-48.6103,145.948
165.5501,-48.6741,150.162,165.4962,-48.6579,152.621,165.4423,-48.6417,155.080
165.6057,-48.7051,157.924,165.5513,-48.6888,160.327,165.4970,-48.6725,162.729
165.6601,-48.7354,164.078,165.6053,-48.7190,166.426,165.5506,-48.7026,168.774
165.7133,-48.7650,169.301,165.6582,-48.7485,171.597,165.6031,-48.7320,173.893
165.7654,-48.7940,173.899,165.7099,-48.7774,176.146,165.6545,-48.7608,178.392
165.8164,-48.8223,178.036,165.7606,-48.8057,180.236,165.7049,-48.7890,182.435
165.8665,-48.8501,181.816,165.8104,-48.8334,183.970,165.7543,-48.8166,186.125
165.9155,-48.8773,185.306,165.8592,-48.8605,187.418,165.8028,-48.8437,189.530
165.9637,-48.9040,188.554,165.9071,-48.8871,190.626,165.8504,-48.8702,192.697
166.0110,-48.9302,191.596,165.9541,-48.9132,193.629,165.8972,-48.8963,195.661
166.0574,-48.9559,194.458,166.0003,-48.9389,196.454,165.9432,-48.9219,198.449
166.1030,-48.9811,197.161,166.0457,-48.9640,199.121,165.9884,-48.9470,201.082
166.1479,-49.0059,199.721,166.0903,-48.9888,201.648,166.0328,-48.9716,203.574
166.1920,-49.0302,202.153,166.1343,-49.0131,204.047,166.0766,-48.9959,205.941
166.2354,-49.0542,204.467,166.1775,-49.0370,206.330,166.1196,-49.0198,208.193
166.2782,-49.0778,206.674,166.2201,-49.0605,208.507,166.1620,-49.0432,210.340
166.3203,-49.1010,208.781,166.2620,-49.0837,210.586,166.2038,-49.0663,212.390
166.3617,-49.1238,210.797,166.3033,-49.1065,212.574,166.2449,-49.0891,214.350
166.4026,-49.1463,212.727,166.3440,-49.1289,214.477,166.2855,-49.1115,216.227
166.4428,-49.1684,214.577,166.3841,-49.1510,216.301,166.3254,-49.1336,218.026
166.4825,-49.1903,216.352,166.4237,-49.1728,218.052,166.3649,-49.1554,219.752
166.5217,-49.2118,218.057,166.4627,-49.1943,219.733,166.4038,-49.1768,221.410
166.5604,-49.2330,219.696,166.5012,-49.2155,221.349,166.4422,-49.1980,223.003
166.5985,-49.2539,221.273,166.5393,-49.2364,222.904,166.4801,-49.2188,224.535
166.6361,-49.2746,222.791,166.5768,-49.2570,224.400,166.5175,-49.2394,226.010
166.6733,-49.2950,224.253,166.6138,-49.2774,225.842,166.5544,-49.2598,227.430
166.7100,-49.3151,225.662,166.6504,-49.2975,227.231,166.5909,-49.2798,228.799
166.7463,-49.3350,227.022,166.6866,-49.3173,228.571,166.6270,-49.2997,230.120
164.4476,-47.9114,17.164,164.4351,-47.9075,22.055,164.4226,-47.9037,26.945
164.5463,-47.9698,19.550,164.5277,-47.9641,24.299,164.5092,-47.9584,29.048
164.6360,-48.0246,22.954,164.6086,-48.0162,27.402,164.5812,-48.0078,31.849
164.7204,-48.0761,27.863,164.6848,-48.0652,31.909,164.6492,-48.0543,35.955
164.8001,-48.1238,34.219,164.7584,-48.1111,37.870,164.7168,-48.0983,41.521
164.8752,-48.1678,41.703,164.8297,-48.1539,45.042,164.7842,-48.1400,48.381
164.9465,-48.2089,49.945,164.8986,-48.1943,53.066,164.8508,-48.1797,56.187
165.0146,-48.2477,58.663,164.9653,-48.2327,61.640,164.9161,-48.2177,64.618
165.0807,-48.2850,67.671,165.0305,-48.2698,70.557,164.9804,-48.2545,73.443
165.1453,-48.3213,76.854,165.0947,-48.3060,79.682,165.0440,-48.2906,82.509
165.2090,-48.3571,86.143,165.1580,-48.3416,88.930,165.1070,-48.3261,91.718
165.2720,-48.3923,95.499,165.2206,-48.3767,98.251,165.1692,-48.3612,101.003
165.3341,-48.4271,104.904,165.2823,-48.4114,107.616,165.2306,-48.3958,110.328
165.3952,-48.4613,114.363,165.3430,-48.4455,117.025,165.2908,-48.4298,119.687
165.4550,-48.4948,123.900,165.4024,-48.4789,126.502,165.3497,-48.4630,129.105
165.5135,-48.5276,133.544,165.4604,-48.5116,136.084,165.4072,-48.4956,138.625
165.5707,-48.5596,143.268,165.5171,-48.5435,145.747,165.4635,-48.5273,148.226
165.6266,-48.5909,152.564,165.5725,-48.5746,154.983,165.5184,-48.5583,157.402
165.6812,-48.6213,160.275,165.6266,-48.6050,162.635,165.5721,-48.5886,164.996
165.7345,-48.6511,166.287,165.6796,-48.6346,168.592,165.6247,-48.6181,170.896
165.7866,-48.6802,171.410,165.7313,-48.6636,173.662,165.6761,-48.6470,175.913
165.8376,-48.7086,175.959,165.7820,-48.6919,178.161,165.7264,-48.6753,180.362
165.8876,-48.7364,180.075,165.8316,-48.7196,182.229,165.7757,-48.7029,184.384
165.9365,-48.7636,183.845,165.8803,-48.7468,185.956,165.8241,-48.7299,188.066
165.9845,-48.7902,187.332,165.9280,-48.7734,189.400,165.8715,-48.7564,191.468
166.0316,-48.8164,190.578,165.9748,-48.7994,192.606,165.9181,-48.7824,194.634
166.0778,-48.8420,193.617,166.0208,-48.8250,195.607,165.9638,-48.8079,197.597
166.1232,-48.8672,196.475,166.0659,-48.8501,198.429,166.0088,-48.8330,200.382
166.1678,-48.8919,199.172,166.1103,-48.8747,201.091,166.0529,-48.8576,203.010
166.2116,-48.9161,201.724,166.1540,-48.8990,203.610,166.0964,-48.8817,205.497
166.2548,-48.9400,204.146,166.1969,-48.9228,206.001,166.1392,-48.9055,207.855
166.2972,-48.9635,206.449,166.2392,-48.9462,208.274,166.1812,-48.9289,210.098
166.3390,-48.9865,208.643,166.2808,-48.9692,210.439,166.2227,-48.9519,212.234
166.3801,-49.0093,210.737,166.3218,-48.9919,212.505,166.2635,-48.9745,214.272
166.4207,-49.0316,212.738,166.3622,-49.0142,214.479,166.3038,-48.9968,216.219
166.4606,-49.0537,214.652,166.4020,-49.0362,216.367,166.3434,-49.0188,218.082
166.5000,-49.0754,216.486,166.4413,-49.0579,218.176,166.3826,-49.0404,219.866
166.5389,-49.0968,218.245,166.4800,-49.0793,219.911,166.4211,-49.0617,221.577
166.5772,-49.1179,219.933,166.5182,-49.1003,221.576,166.4592,-49.0828,223.219
166.6150,-49.1387,221.555,166.5559,-49.1211,223.175,166.4968,-49.1035,224.796
166.6523,-49.1592,223.114,166.5931,-49.1416,224.713,166.5339,-49.1240,226.312
166.6891,-49.1794,224.614,166.6298,-49.1618,226.192,166.5705,-49.1442,227.770
166.7255,-49.1994,226.058,166.6661,-49.1818,227.616,166.6066,-49.1641,229.174
166.7615,-49.2192,227.450,166.7019,-49.2015,228.988,166.6424,-49.1838,230.527
166.7970,-49.2387,228.791,166.7373,-49.2210,230.311,166.6777,-49.2032,231.830
164.5403,-47.8363,17.770,164.5274,-47.8323,22.649,164.5144,-47.8284,27.527
164.6350,-47.8935,20.231,164.6144,-47.8872,24.917,164.5938,-47.8808,29.603
164.7230,-47.9475,24.008,164.6934,-47.9384,28.358,164.6638,-47.9293,32.707
164.8061,-47.9980,29.319,164.7688,-47.9866,33.261,164.7316,-47.9751,37.204
164.8847,-48.0449,36.006,164.8421,-48.0318,39.579,164.7995,-48.0187,43.151
164.9590,-48.0882,43.700,164.9131,-48.0741,46.992,164.8671,-48.0600,50.283
165.0297,-48.1288,52.053,164.9817,-48.1141,55.153,164.9337,-48.0994,58.252
165.0976,-48.1675,60.815,165.0484,-48.1524,63.788,164.9992,-48.1374,66.761
165.1636,-48.2048,69.823,165.1136,-48.1895,72.713,165.0636,-48.1743,75.602
165.2283,-48.2412,78.982,165.1777,-48.2258,81.813,165.1272,-48.2104,84.644
165.2918,-48.2769,88.235,165.2408,-48.2614,91.017,165.1899,-48.2459,93.800
165.3544,-48.3120,97.559,165.3029,-48.2964,100.296,165.2516,-48.2808,103.032
165.4158,-48.3465,106.950,165.3640,-48.3308,109.636,165.3122,-48.3151,112.322
165.4761,-48.3804,116.412,165.4238,-48.3645,119.040,165.3715,-48.3487,121.667
165.5351,-48.4135,125.965,165.4822,-48.3975,128.528,165.4294,-48.3815,131.091
165.5926,-48.4457,135.642,165.5392,-48.4296,138.138,165.4858,-48.4135,140.635
