clon1,clat1,cdep1,clon2,clat2,cdep2,clon3,clat3,cdep3
179.3437,-34.9280,102.417,179.3845,-35.0018,110.328,179.4219,-35.0694,117.579
179.2758,-34.8974,110.048,179.3170,-34.9727,117.763,179.3549,-35.0416,124.836
179.2087,-34.8677,117.865,179.2500,-34.9443,125.405,179.2878,-35.0146,132.317
179.1436,-34.8382,125.857,179.1850,-34.9160,133.240,179.2231,-34.9873,140.007
179.0796,-34.8093,134.000,179.1211,-34.8881,141.239,179.1592,-34.9604,147.875
179.0164,-34.7810,142.276,179.0576,-34.8609,149.385,179.0953,-34.9341,155.901
178.9546,-34.7529,150.654,178.9956,-34.8337,157.642,179.0332,-34.9077,164.048
178.8938,-34.7253,159.153,178.9346,-34.8069,166.030,178.9721,-34.8817,172.335
178.8338,-34.6981,167.763,178.8744,-34.7804,174.538,178.9116,-34.8559,180.750
178.7746,-34.6712,176.420,178.8147,-34.7543,183.099,178.8516,-34.8305,189.222
178.7164,-34.6446,185.171,178.7562,-34.7284,191.762,178.7929,-34.8052,197.803
178.6591,-34.6183,194.017,178.6989,-34.7027,200.525,178.7354,-34.7800,206.490
178.6022,-34.5924,202.890,178.6415,-34.6774,209.314,178.6776,-34.7553,215.203
178.5462,-34.5668,211.804,178.5852,-34.6524,218.145,178.6211,-34.7308,223.957
178.4914,-34.5414,220.766,178.5303,-34.6276,227.020,178.5661,-34.7065,232.753
178.4369,-34.5166,229.761,178.4756,-34.6033,235.924,178.5111,-34.6828,241.572
178.3833,-34.4921,238.808,178.4217,-34.5794,244.872,178.4570,-34.6595,250.430
178.3310,-34.4679,247.850,178.3694,-34.5559,253.807,178.4047,-34.6365,259.267
178.2795,-34.4442,256.626,178.3178,-34.5328,262.474,178.3531,-34.6140,267.834
178.2289,-34.4210,264.523,178.2672,-34.5101,270.268,178.3024,-34.5918,275.534
178.1800,-34.3977,270.872,178.2187,-34.4872,276.530,178.2543,-34.5692,281.718
178.1323,-34.3746,275.920,178.1719,-34.4642,281.506,178.2083,-34.5463,286.627
178.0851,-34.3518,280.367,178.1254,-34.4415,285.886,178.1624,-34.5237,290.946
178.0382,-34.3293,284.490,178.0789,-34.4192,289.944,178.1164,-34.5016,294.944
177.9916,-34.3072,288.374,178.0327,-34.3973,293.765,178.0704,-34.4799,298.706
177.9454,-34.2853,292.062,177.9867,-34.3757,297.389,178.0246,-34.4585,302.272
177.8997,-34.2637,295.580,177.9412,-34.3543,300.844,177.9792,-34.4374,305.670
177.8545,-34.2424,298.946,177.8961,-34.3333,304.149,177.9342,-34.4165,308.917
177.8098,-34.2213,302.176,177.8514,-34.3125,307.317,177.8897,-34.3960,312.030
177.7657,-34.2005,305.283,177.8073,-34.2919,310.363,177.8456,-34.3756,315.020
177.7220,-34.1800,308.275,177.7637,-34.2716,313.295,177.8020,-34.3556,317.897
177.6788,-34.1596,311.162,177.7206,-34.2515,316.123,177.7589,-34.3357,320.670
177.6362,-34.1395,313.952,177.6780,-34.2317,318.854,177.7163,-34.3161,323.348
177.5941,-34.1197,316.651,177.6358,-34.2120,321.495,177.6742,-34.2967,325.936
177.5524,-34.1001,319.264,177.5942,-34.1927,324.051,177.6326,-34.2775,328.440
177.5113,-34.0807,321.797,177.5531,-34.1735,326.529,177.5915,-34.2586,330.866
177.4706,-34.0615,324.256,177.5124,-34.1545,328.932,177.5508,-34.2398,333.218
177.4305,-34.0425,326.643,177.4723,-34.1358,331.264,177.5107,-34.2213,335.501
177.3907,-34.0238,328.962,177.4326,-34.1173,333.531,177.4710,-34.2029,337.718
177.3515,-34.0053,331.218,177.3933,-34.0989,335.734,177.4317,-34.1848,339.873
177.3127,-33.9870,333.413,177.3545,-34.0808,337.877,177.3929,-34.1669,341.970
177.2744,-33.9688,335.551,177.3162,-34.0629,339.964,177.3546,-34.1491,344.010
177.2365,-33.9509,337.633,177.2783,-34.0452,341.996,177.3167,-34.1316,345.996
177.1990,-33.9332,339.662,177.2408,-34.0276,343.977,177.2792,-34.1142,347.932
177.1620,-33.9157,341.641,177.2038,-34.0103,345.908,177.2421,-34.0970,349.819
177.1254,-33.8984,343.572,177.1671,-33.9931,347.792,177.2055,-34.0800,351.660
177.0892,-33.8812,345.456,177.1309,-33.9762,349.630,177.1693,-34.0632,353.455
177.0534,-33.8643,347.296,177.0951,-33.9594,351.424,177.1334,-34.0465,355.208
177.0180,-33.8475,349.094,177.0597,-33.9427,353.177,177.0980,-34.0301,356.920
176.9829,-33.8309,350.850,177.0246,-33.9263,354.890,177.0629,-34.0138,358.593
176.9483,-33.8145,352.567,176.9900,-33.9100,356.564,177.0283,-33.9976,360.227
176.9140,-33.7982,354.245,176.9557,-33.8939,358.200,176.9940,-33.9816,361.825
176.8801,-33.7821,355.887,176.9218,-33.8780,359.801,176.9600,-33.9658,363.388
176.8466,-33.7662,357.493,176.8882,-33.8622,361.366,176.9264,-33.9501,364.917
176.8134,-33.7504,359.065,176.8550,-33.8465,362.899,176.8932,-33.9346,366.413
176.7805,-33.7348,360.604,176.8221,-33.8310,364.398,176.8603,-33.9193,367.877
176.7480,-33.7193,362.110,176.7896,-33.8157,365.867,176.8278,-33.9040,369.311
176.7158,-33.7040,363.586,176.7574,-33.8005,367.305,176.7956,-33.8890,370.715
176.6840,-33.6889,365.032,176.7255,-33.7855,368.714,176.7637,-33.8740,372.090
176.6525,-33.6739,366.448,176.6940,-33.7706,370.095,176.7321,-33.8592,373.438
176.6212,-33.6590,367.837,176.6627,-33.7559,371.448,176.7009,-33.8446,374.759
176.5903,-33.6443,369.198,176.6318,-33.7412,372.775,176.6699,-33.8301,376.053
176.5597,-33.6297,370.533,176.6012,-33.7268,374.075,176.6393,-33.8157,377.323
176.5294,-33.6153,371.841,176.5709,-33.7124,375.351,176.6089,-33.8014,378.568
180.9473,-35.7286,24.757,180.9488,-35.7335,36.744,180.9502,-35.7380,47.731
180.8430,-35.6818,25.264,180.8451,-35.6886,37.238,180.8470,-35.6948,48.214
180.7393,-35.6362,25.825,180.7424,-35.6457,37.774,180.7452,-35.6544,48.728
180.6366,-35.5924,26.622,180.6412,-35.6057,38.520,180.6454,-35.6179,49.427
180.5353,-35.5506,27.713,180.5420,-35.5690,39.516,180.5481,-35.5858,50.337
180.4359,-35.5107,29.192,180.4453,-35.5353,40.837,180.4539,-35.5578,51.512
180.3385,-35.4725,31.169,180.3511,-35.5039,42.581,180.3628,-35.5328,53.041
180.2437,-35.4352,33.752,180.2599,-35.4734,44.864,180.2748,-35.5085,55.049
180.1515,-35.3982,37.008,180.1712,-35.4427,47.781,180.1893,-35.4835,57.657
180.0620,-35.3612,40.956,180.0850,-35.4109,51.389,180.1060,-35.4565,60.954
179.9750,-35.3241,45.551,180.0008,-35.3780,55.669,180.0245,-35.4274,64.944
179.8903,-35.2871,50.697,179.9187,-35.3443,60.528,179.9448,-35.3968,69.540
179.8079,-35.2504,56.302,179.8387,-35.3103,65.872,179.8670,-35.3653,74.645
179.7275,-35.2144,62.262,179.7605,-35.2767,71.580,179.7907,-35.3338,80.121
179.6494,-35.1791,68.514,179.6845,-35.2436,77.578,179.7168,-35.3027,85.887
179.5732,-35.1447,75.030,179.6103,-35.2112,83.840,179.6444,-35.2722,91.916
179.4991,-35.1112,81.786,179.5380,-35.1797,90.340,179.5738,-35.2425,98.182
179.4273,-35.0783,88.792,179.4681,-35.1486,97.098,179.5056,-35.2130,104.712
179.3570,-35.0464,96.032,179.3992,-35.1183,104.106,179.4380,-35.1841,111.507
179.2887,-35.0151,103.508,179.3323,-35.0882,111.370,179.3723,-35.1553,118.577
179.2220,-34.9843,111.199,179.2668,-35.0586,118.870,179.3079,-35.1267,125.902
179.1563,-34.9543,119.066,179.2017,-35.0297,126.568,179.2434,-35.0989,133.445
179.0925,-34.9245,127.125,179.1389,-35.0007,134.476,179.1815,-35.0706,141.215
179.0295,-34.8953,135.319,179.0765,-34.9724,142.534,179.1196,-35.0430,149.147
178.9672,-34.8668,143.625,179.0144,-34.9447,150.714,179.0577,-35.0160,157.213
178.9065,-34.8384,152.061,178.9543,-34.9168,159.037,178.9982,-34.9887,165.432
178.8463,-34.8106,160.594,178.8943,-34.8897,167.464,178.9384,-34.9621,173.763
178.7868,-34.7832,169.208,178.8348,-34.8629,175.981,178.8790,-34.9360,182.189
178.7286,-34.7559,177.914,178.7770,-34.8361,184.596,178.8215,-34.9096,190.721
178.6707,-34.7292,186.701,178.7191,-34.8099,193.298,178.7635,-34.8839,199.345
178.6133,-34.7028,195.551,178.6615,-34.7842,202.066,178.7058,-34.8587,208.039
178.5573,-34.6765,204.456,178.6058,-34.7582,210.892,178.6504,-34.8331,216.791
178.5014,-34.6508,213.439,178.5498,-34.7330,219.792,178.5943,-34.8084,225.616
178.4459,-34.6256,222.475,178.4939,-34.7085,228.742,178.5380,-34.7845,234.486
178.3919,-34.6004,231.524,178.4401,-34.6838,237.700,178.4844,-34.7602,243.361
178.3385,-34.5758,240.783,178.3867,-34.6598,246.856,178.4309,-34.7367,252.424
178.2854,-34.5519,250.144,178.3332,-34.6367,256.105,178.3771,-34.7144,261.569
178.2338,-34.5283,259.087,178.2815,-34.6137,264.933,178.3253,-34.6920,270.293
178.1831,-34.5051,266.977,178.2307,-34.5911,272.718,178.2745,-34.6699,277.981
178.1330,-34.4823,273.336,178.1802,-34.5690,278.988,178.2236,-34.6484,284.169
178.0835,-34.4599,278.517,178.1303,-34.5472,284.093,178.1732,-34.6271,289.204
178.0348,-34.4377,283.099,178.0812,-34.5255,288.603,178.1237,-34.6059,293.649
177.9868,-34.4157,287.302,178.0328,-34.5040,292.737,178.0750,-34.5849,297.719
177.9394,-34.3939,291.223,177.9852,-34.4826,296.591,178.0271,-34.5639,301.512
177.8928,-34.3724,294.921,177.9382,-34.4615,300.222,177.9800,-34.5432,305.082
