clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
178.6208,-34.5678,216.572,178.6679,-34.5364,211.639,178.6283,-34.6245,212.860,178.5742,-34.5991,221.656,178.6129,-34.5112,220.133
178.5666,-34.5427,225.199,178.6129,-34.5112,220.133,178.5742,-34.5991,221.656,178.5202,-34.5743,230.451,178.5589,-34.4863,228.557
178.5125,-34.5182,233.774,178.5589,-34.4863,228.557,178.5202,-34.5743,230.451,178.4653,-34.5503,239.221,178.5057,-34.4618,236.868
178.4593,-34.4940,242.269,178.5057,-34.4618,236.868,178.4653,-34.5503,239.221,178.4126,-34.5265,247.993,178.4535,-34.4376,244.995
178.4076,-34.4701,250.616,178.4535,-34.4376,244.995,178.4126,-34.5265,247.993,178.3618,-34.5028,256.656,178.4025,-34.4137,252.819
178.3569,-34.4466,258.636,178.4025,-34.4137,252.819,178.3618,-34.5028,256.656,178.3109,-34.4797,264.918,178.3525,-34.3901,260.152
178.3071,-34.4234,265.989,178.3525,-34.3901,260.152,178.3109,-34.4797,264.918,178.2614,-34.4569,272.092,178.3037,-34.3667,266.794
178.2590,-34.4002,272.272,178.3037,-34.3667,266.794,178.2614,-34.4569,272.092,178.2149,-34.4336,277.554,178.2562,-34.3435,272.650
178.2125,-34.3769,277.542,178.2562,-34.3435,272.650,178.2149,-34.4336,277.554,178.1693,-34.4104,282.154,178.2096,-34.3204,277.810
178.1665,-34.3540,282.195,178.2096,-34.3204,277.810,178.1693,-34.4104,282.154,178.1237,-34.3876,286.369,178.1636,-34.2975,282.447
178.1208,-34.3313,286.461,178.1636,-34.2975,282.447,178.1237,-34.3876,286.369,178.0780,-34.3652,290.324,178.1179,-34.2750,286.705
178.0752,-34.3090,290.443,178.1179,-34.2750,286.705,178.0780,-34.3652,290.324,178.0324,-34.3431,294.069,178.0726,-34.2527,290.674
178.0299,-34.2870,294.197,178.0726,-34.2527,290.674,178.0324,-34.3431,294.069,177.9871,-34.3214,297.634,178.0275,-34.2307,294.413
177.9848,-34.2653,297.762,178.0275,-34.2307,294.413,177.9871,-34.3214,297.634,177.9420,-34.3000,301.039,177.9828,-34.2091,297.960
177.9401,-34.2439,301.161,177.9828,-34.2091,297.960,177.9420,-34.3000,301.039,177.8974,-34.2789,304.302,177.9383,-34.1877,301.341
177.8958,-34.2228,304.414,177.9383,-34.1877,301.341,177.8974,-34.2789,304.302,177.8532,-34.2581,307.435,177.8943,-34.1666,304.576
177.8519,-34.2020,307.535,177.8943,-34.1666,304.576,177.8532,-34.2581,307.435,177.8094,-34.2375,310.449,177.8507,-34.1457,307.680
177.8084,-34.1814,310.537,177.8507,-34.1457,307.680,177.8094,-34.2375,310.449,177.7661,-34.2171,313.354,177.8074,-34.1251,310.665
177.7653,-34.1610,313.429,177.8074,-34.1251,310.665,177.7661,-34.2171,313.354,177.7232,-34.1970,316.157,177.7646,-34.1048,313.540
177.7227,-34.1409,316.220,177.7646,-34.1048,313.540,177.7232,-34.1970,316.157,177.6809,-34.1772,318.867,177.7223,-34.0847,316.315
