clon,clat,cdep,lon1,lat1,dep1,lon2,lat2,dep2,lon3,lat3,dep3,lon4,lat4,dep4
165.1503,-48.8427,126.256,165.0809,-48.8668,120.308,165.1580,-48.7839,122.830,165.2190,-48.8181,132.282,165.1434,-48.9018,129.605
165.2112,-48.8768,135.691,165.1434,-48.9018,129.605,165.2190,-48.8181,132.282,165.2784,-48.8513,141.832,165.2042,-48.9359,139.045
165.2708,-48.9100,144.791,165.2042,-48.9359,139.045,165.2784,-48.8513,141.832,165.3367,-48.8839,151.092,165.2638,-48.9691,147.193
165.3291,-48.9426,152.269,165.2638,-48.9691,147.193,165.3367,-48.8839,151.092,165.3938,-48.9157,157.249,165.3222,-49.0016,153.542
165.3863,-48.9744,158.100,165.3222,-49.0016,153.542,165.3938,-48.9157,157.249,165.4499,-48.9469,162.571,165.3795,-49.0334,159.041
165.4425,-49.0056,163.218,165.3795,-49.0334,159.041,165.4499,-48.9469,162.571,165.5048,-48.9774,167.334,165.4357,-49.0646,163.929
165.4976,-49.0362,167.825,165.4357,-49.0646,163.929,165.5048,-48.9774,167.334,165.5588,-49.0074,171.665,165.4909,-49.0952,168.371
165.5516,-49.0661,172.035,165.4909,-49.0952,168.371,165.5588,-49.0074,171.665,165.6118,-49.0368,175.645,165.5450,-49.1252,172.457
165.6047,-49.0955,175.919,165.5450,-49.1252,172.457,165.6118,-49.0368,175.645,165.6638,-49.0656,179.329,165.5981,-49.1546,176.245
165.6568,-49.1243,179.528,165.5981,-49.1546,176.245,165.6638,-49.0656,179.329,165.7148,-49.0938,182.760,165.6503,-49.1834,179.777
165.7079,-49.1526,182.899,165.6503,-49.1834,179.777,165.7148,-49.0938,182.760,165.7650,-49.1216,185.973,165.7016,-49.2117,183.085
165.7582,-49.1804,186.062,165.7016,-49.2117,183.085,165.7650,-49.1216,185.973,165.8143,-49.1488,188.994,165.7519,-49.2395,186.197
165.8076,-49.2076,189.042,165.7519,-49.2395,186.197,165.8143,-49.1488,188.994,165.8627,-49.1755,191.846,165.8014,-49.2667,189.132
165.8561,-49.2344,191.859,165.8014,-49.2667,189.132,165.8627,-49.1755,191.846,165.9103,-49.2018,194.546,165.8501,-49.2935,191.910
165.9039,-49.2607,194.527,165.8501,-49.2935,191.910,165.9103,-49.2018,194.546,165.9571,-49.2276,197.108,165.8979,-49.3199,194.546
165.9508,-49.2866,197.062,165.8979,-49.3199,194.546,165.9571,-49.2276,197.108,166.0032,-49.2530,199.545,165.9450,-49.3458,197.051
165.9970,-49.3120,199.475,165.9450,-49.3458,197.051,166.0032,-49.2530,199.545,166.0486,-49.2780,201.868,165.9914,-49.3712,199.437
166.0425,-49.3370,201.777,165.9914,-49.3712,199.437,166.0486,-49.2780,201.868,166.0932,-49.3025,204.086,166.0370,-49.3963,201.714
166.0873,-49.3616,203.974,166.0370,-49.3963,201.714,166.0932,-49.3025,204.086,166.1372,-49.3267,206.206,166.0819,-49.4209,203.890
166.1315,-49.3858,206.076,166.0819,-49.4209,203.890,166.1372,-49.3267,206.206,166.1805,-49.3505,208.236,166.1262,-49.4452,205.972
166.1749,-49.4097,208.089,166.1262,-49.4452,205.972,166.1805,-49.3505,208.236,166.2232,-49.3739,210.181,166.1698,-49.4691,207.967
166.2178,-49.4332,210.019,166.1698,-49.4691,207.967,166.2232,-49.3739,210.181,166.2653,-49.3970,212.048,166.2128,-49.4926,209.880
166.2600,-49.4563,211.871,166.2128,-49.4926,209.880,166.2653,-49.3970,212.048,166.3068,-49.4198,213.841,166.2551,-49.5158,211.716
166.3017,-49.4791,213.650,166.2551,-49.5158,211.716,166.3068,-49.4198,213.841,166.3477,-49.4422,215.563,166.2969,-49.5387,213.480
166.3428,-49.5016,215.361,166.2969,-49.5387,213.480,166.3477,-49.4422,215.563,166.3881,-49.4643,217.221,166.3382,-49.5612,215.177
166.3833,-49.5238,217.006,166.3382,-49.5612,215.177,166.3881,-49.4643,217.221,166.4280,-49.4861,218.816,166.3789,-49.5834,216.810
166.4233,-49.5456,218.591,166.3789,-49.5834,216.810,166.4280,-49.4861,218.816,166.4673,-49.5076,220.353,166.4190,-49.6053,218.383
166.4628,-49.5672,220.118,166.4190,-49.6053,218.383,166.4673,-49.5076,220.353,166.5062,-49.5289,221.835,166.4587,-49.6270,219.899
166.5018,-49.5885,221.589,166.4587,-49.6270,219.899,166.5062,-49.5289,221.835,166.5445,-49.5498,223.264,166.4978,-49.6483,221.361
166.5403,-49.6095,223.009,166.4978,-49.6483,221.361,166.5445,-49.5498,223.264,166.5824,-49.5705,224.643,166.5365,-49.6694,222.771
164.3452,-48.2453,24.945,164.2552,-48.2555,23.094,164.3493,-48.1812,23.912,164.4319,-48.2340,26.822,164.3443,-48.3104,25.950
164.4269,-48.2972,28.418,164.3443,-48.3104,25.950,164.4319,-48.2340,26.822,164.5089,-48.2836,31.070,164.4226,-48.3608,29.827
