lon,lat,dep,Mw,strike1,dip1,rake1,strike2,dip2,rake2
176.2333,-38.2706,162.0000,4.100,74.0000,65.0000,122.0000,198.0000,40.0000,42.0000
178.1672,-38.8618,27.0000,4.000,200.0000,54.0000,-103.0000,42.0000,38.0000,-73.0000
173.3212,-40.4758,192.0000,4.400,195.0000,59.0000,78.0000,38.0000,33.0000,110.0000
176.4990,-37.5239,195.0000,4.300,345.0000,82.0000,13.0000,253.0000,77.0000,172.0000
178.5976,-38.9434,24.0000,4.200,302.0000,64.0000,-150.0000,198.0000,63.0000,-29.0000
177.7315,-36.9142,117.0000,5.200,334.0000,89.0000,140.0000,64.0000,50.0000,1.0000
176.6828,-38.6140,96.0000,4.200,139.0000,69.0000,41.0000,32.0000,52.0000,153.0000
176.0921,-38.2542,177.0000,5.000,45.0000,64.0000,86.0000,233.0000,26.0000,97.0000
175.7438,-38.7511,147.0000,4.100,39.0000,83.0000,-142.0000,303.0000,52.0000,-9.0000
178.8945,-35.3192,165.0000,4.900,83.0000,88.0000,-74.0000,180.0000,17.0000,-172.0000
173.2266,-41.5955,114.0000,4.200,271.0000,83.0000,-73.0000,21.0000,19.0000,-159.0000
176.5669,-37.3509,222.0000,4.300,60.0000,90.0000,94.0000,156.0000,4.0000,6.0000
176.6522,-39.9614,42.0000,4.000,155.0000,83.0000,-89.0000,325.0000,7.0000,-100.0000
176.7711,-36.9340,305.0000,4.900,314.0000,80.0000,22.0000,220.0000,68.0000,169.0000
178.3542,-39.0314,30.0000,4.200,182.0000,73.0000,132.0000,290.0000,44.0000,25.0000
177.5899,-36.7245,171.0000,5.000,11.0000,79.0000,74.0000,249.0000,20.0000,146.0000
176.7771,-37.7863,159.0000,5.100,31.0000,75.0000,107.0000,162.0000,23.0000,43.0000
166.9137,-45.1335,30.0000,4.100,6.0000,80.0000,-71.0000,123.0000,21.0000,-151.0000
167.4216,-45.0608,90.0000,4.100,24.0000,51.0000,85.0000,212.0000,39.0000,96.0000
178.2364,-38.3441,36.0000,4.100,253.0000,77.0000,112.0000,13.0000,25.0000,33.0000
178.5040,-38.9481,36.0000,4.100,168.0000,90.0000,125.0000,258.0000,35.0000,0.0000
178.4582,-38.6694,21.0000,4.500,70.0000,54.0000,-98.0000,263.0000,36.0000,-79.0000
178.5172,-35.7566,192.0000,4.600,38.0000,60.0000,67.0000,259.0000,37.0000,125.0000
175.4407,-41.0514,39.0000,4.000,35.0000,53.0000,-104.0000,237.0000,39.0000,-73.0000
179.4844,-36.9732,39.0000,4.500,233.0000,80.0000,155.0000,328.0000,65.0000,11.0000
176.1996,-38.1385,198.0000,4.300,73.0000,70.0000,156.0000,172.0000,67.0000,22.0000
165.6878,-45.8502,18.0000,4.600,86.0000,71.0000,142.0000,190.0000,54.0000,24.0000
166.4097,-45.6137,22.0000,4.200,199.0000,83.0000,116.0000,303.0000,26.0000,16.0000
165.6132,-46.3703,27.0000,4.900,51.0000,58.0000,114.0000,191.0000,39.0000,57.0000
165.7457,-46.1189,20.0000,4.000,25.0000,71.0000,108.0000,159.0000,26.0000,48.0000
174.3468,-41.8053,33.0000,3.900,188.0000,88.0000,-141.0000,96.0000,51.0000,-3.0000
166.3871,-45.4831,24.0000,4.400,316.0000,67.0000,-25.0000,56.0000,67.0000,-155.0000
179.3125,-35.9205,66.0000,5.300,125.0000,56.0000,120.0000,259.0000,44.0000,54.0000
176.5290,-40.4387,33.0000,4.300,242.0000,73.0000,-97.0000,86.0000,19.0000,-68.0000
174.7223,-41.4383,36.0000,4.700,183.0000,68.0000,-151.0000,81.0000,64.0000,-25.0000
176.9498,-37.0093,249.0000,4.600,72.0000,47.0000,110.0000,224.0000,47.0000,70.0000
174.6142,-41.1690,51.0000,4.300,63.0000,49.0000,-88.0000,240.0000,41.0000,-92.0000
176.6140,-37.9518,135.0000,4.600,52.0000,87.0000,109.0000,151.0000,20.0000,9.0000
176.8290,-39.7201,30.0000,4.200,45.0000,58.0000,-60.0000,177.0000,43.0000,-129.0000
175.9970,-39.6286,57.0000,4.500,48.0000,77.0000,136.0000,150.0000,48.0000,18.0000
175.5949,-40.4199,42.0000,4.700,236.0000,46.0000,-95.0000,63.0000,44.0000,-85.0000
165.2861,-46.4810,20.0000,4.700,188.0000,66.0000,79.0000,32.0000,26.0000,112.0000
176.4867,-40.0490,63.0000,4.600,137.0000,60.0000,-115.0000,359.0000,38.0000,-54.0000
177.3404,-37.6430,195.0000,4.400,6.0000,65.0000,34.0000,260.0000,59.0000,151.0000
174.7276,-41.0350,42.0000,3.900,153.0000,55.0000,-132.0000,31.0000,52.0000,-46.0000
177.2240,-36.8143,228.0000,4.800,13.0000,89.0000,62.0000,280.0000,28.0000,177.0000
177.0742,-36.9023,228.0000,4.800,262.0000,83.0000,-134.0000,165.0000,45.0000,-10.0000
174.9425,-40.9085,69.0000,4.200,125.0000,83.0000,-24.0000,218.0000,66.0000,-172.0000
165.3420,-46.2405,20.0000,4.300,153.0000,80.0000,12.0000,60.0000,78.0000,169.0000
175.9205,-38.4433,147.0000,4.200,122.0000,79.0000,-21.0000,217.0000,70.0000,-168.0000
166.9708,-45.6846,96.0000,4.300,328.0000,77.0000,50.0000,223.0000,42.0000,160.0000
177.0343,-39.6835,30.0000,3.800,60.0000,88.0000,84.0000,307.0000,6.0000,157.0000
173.5623,-40.2092,174.0000,4.700,350.0000,58.0000,58.0000,220.0000,44.0000,130.0000
176.4077,-38.0471,279.0000,4.500,44.0000,66.0000,100.0000,201.0000,26.0000,69.0000
177.3533,-38.9652,33.0000,5.100,181.0000,60.0000,-137.0000,66.0000,54.0000,-39.0000
176.8944,-36.9967,282.0000,4.300,50.0000,56.0000,123.0000,180.0000,46.0000,51.0000
176.8182,-40.4333,24.0000,5.000,30.0000,50.0000,94.0000,204.0000,40.0000,85.0000
176.7837,-40.4187,27.0000,4.900,55.0000,81.0000,162.0000,148.0000,72.0000,9.0000
175.9683,-38.2512,207.0000,4.700,207.0000,62.0000,34.0000,99.0000,60.0000,147.0000
177.2894,-36.6812,300.0000,5.400,61.0000,51.0000,127.0000,191.0000,51.0000,53.0000
